symbol,mean_volume,outstanding_shares
VHL,4386.046511627907,25.0
GMX,4379.0298507462685,9.0
NAV,4352.93670886076,8.0
GCF,4351.470588235294,39.3
F88,4333.928571428572,8.3
VCW,4288.372093023256,75.0
SFI,4228.525,24.3
VSA,4210.975308641975,14.1
INN,4198.506172839506,27.0
APC,4173.333333333333,19.9
TCR,4167.948717948718,45.4
MKV,4145.2830188679245,5.0
VCM,4137.5,12.0
HLY,4136.363636363636,1.0
THP,4115.151515151515,21.6
CGV,4108.695652173913,9.5
GIC,4093.548387096774,12.1
STT,4093.3333333333335,8.0
L43,4026.9841269841268,3.5
VUA,4016.326530612245,33.9
VNA,3931.4756097560976,34.0
SKV,3888.175675675676,23.0
CVT,3873.076923076923,36.7
DNP,3870.1754385964914,141.0
RCC,3851.1111111111113,32.1
DHD,3850.769230769231,36.0
VIT,3847.3518518518517,50.0
L62,3843.75,8.3
AGP,3840.9638554216867,26.6
DMC,3775.7948717948716,34.7
BCP,3750.0,6.0
SJ1,3701.8867924528304,43.5
PTX,3651.0204081632655,6.4
L12,3648.6111111111113,6.7
OPC,3625.0,64.1
VIR,3542.8571428571427,8.2
TFC,3531.772151898734,16.8
MA1,3519.846153846154,10.1
L63,3493.103448275862,8.3
AG1,3488.0597014925374,4.9
SAF,3487.3417721518986,12.0
D11,3470.657894736842,8.2
PRO,3466.6666666666665,3.0
PAP,3458.4415584415583,232.0
VTC,3430.15873015873,4.5
TDB,3404.9180327868853,8.2
ASG,3401.3698630136987,90.8
QNP,3394.805194805195,40.4
SKH,3374.324324324324,33.0
TMS,3373.048780487805,169.3
PPS,3366.109756097561,15.0
VC1,3361.6666666666665,12.0
VGG,3325.641025641026,44.1
DTK,3319.718309859155,682.8
PCM,3318.181818181818,3.9
ISG,3300.0,8.8
TH1,3278.5714285714284,13.5
VTH,3231.0344827586205,7.9
PDN,3203.1111111111113,55.6
MH3,3199.9523809523807,24.0
USD,3198.7179487179487,5.6
SJG,3191.253012048193,449.5
HLS,3185.714285714286,11.2
DPP,3175.0,3.0
SPM,3163.235294117647,13.8
TIX,3160.0,30.0
CMD,3157.472972972973,11.2
CFM,3155.5555555555557,2.0
CMV,3150.7246376811595,18.2
HNI,3126.923076923077,23.8
ILC,3061.818181818182,6.1
TRA,3048.7804878048782,41.5
QSP,3033.3333333333335,10.8
VNY,3026.785714285714,16.2
PMG,3022.0338983050847,46.3
HLB,3003.28,3.1
TCK,3000.0,23.9
VIM,2982.5625,1.3
PLA,2956.0975609756097,10.0
SPV,2942.222222222222,10.8
HFB,2937.757575757576,9.1
SMN,2903.6363636363635,4.4
AMP,2902.5,13.0
BBC,2887.6923076923076,18.8
HPW,2880.0,74.2
TNC,2826.7763157894738,19.3
NHT,2796.4912280701756,24.0
VET,2780.821917808219,16.0
TMP,2774.0,70.0
HNB,2766.6666666666665,9.5
BTG,2766.6666666666665,1.2
CKV,2766.6666666666665,4.0
PMC,2748.746835443038,9.3
PGS,2747.5,50.0
TMW,2733.3333333333335,4.7
DTG,2718.5416666666665,9.6
XMP,2718.133333333333,15.0
PLO,2713.3333333333335,7.2
DP1,2709.842105263158,21.0
SVG,2689.3617021276596,29.4
VPA,2683.3333333333335,15.1
CID,2650.173076923077,0.9
AME,2615.2542372881358,65.2
PEG,2614.705882352941,248.9
SSM,2613.3333333333335,4.9
SPH,2566.6666666666665,10.0
NSC,2559.958904109589,17.6
WTC,2544.703703703704,17.5
TLP,2544.1645569620255,236.6
CCI,2535.9375,17.5
TAN,2532.9113924050635,1.6
HFC,2530.769230769231,10.2
H11,2517.391304347826,1.1
HPP,2505.4794520547944,8.0
EIC,2487.2727272727275,36.7
NTW,2486.25,10.0
TDW,2424.883116883117,8.5
SBH,2409.0963855421687,124.2
TPP,2367.451219512195,65.0
L10,2361.3636363636365,9.8
VAV,2354.3661971830984,48.0
SGD,2345.2380952380954,4.0
NDC,2326.6666666666665,6.0
HC3,2315.7894736842104,20.7
SGC,2298.048780487805,7.1
BHA,2292.6875,66.0
VNZ,2291.1392405063293,29.4
BRS,2285.1794871794873,4.5
HSM,2250.0,20.5
PBT,2240.480769230769,17.5
TNV,2238.5714285714284,23.7
RCD,2238.4615384615386,4.8
PMW,2235.516129032258,50.0
CMC,2235.016666666667,5.1
VVN,2233.3333333333335,55.0
HBH,2209.3478260869565,16.0
DPC,2201.923076923077,2.2
VDL,2188.6666666666665,14.7
VTJ,2164.516129032258,11.4
SC5,2137.9310344827586,15.0
HKT,2092.156862745098,33.3
CCR,2083.097222222222,24.5
BTD,2072.0,6.4
BMK,2065.75,8.0
BXH,2059.063492063492,3.0
HES,2040.0,9.3
PNT,2033.9166666666667,9.3
DC1,2032.3076923076924,4.5
KTS,2030.0,5.1
DVT,2022.5806451612902,0.3
AIC,2010.144927536232,100.0
HNF,1976.3157894736842,30.0
SP2,1953.5714285714287,20.6
EMS,1952.3698630136987,21.0
DHP,1920.9302325581396,9.5
NAP,1913.3333333333333,21.5
LEC,1885.2941176470588,26.1
TMX,1842.0428571428572,6.0
TET,1840.0,5.7
TLT,1837.6666666666667,7.0
GTA,1824.2328767123288,9.8
DFC,1819.295081967213,11.4
HTM,1812.3287671232877,220.0
VES,1800.0,9.0
NAS,1793.8461538461538,8.3
HTL,1785.1351351351352,12.0
DSG,1758.3333333333333,30.0
MGR,1757.7777777777778,20.0
POV,1741.2222222222222,12.5
GND,1740.7407407407406,9.0
CCA,1739.9113924050632,18.1
HAD,1739.6923076923076,4.0
VE2,1733.3333333333333,2.1
UXC,1733.3333333333333,35.4
VCF,1720.5421686746988,26.6
BLT,1719.4358974358975,4.0
TED,1718.1929824561403,12.5
TKU,1716.3333333333333,46.9
HDP,1713.0434782608695,9.9
ALT,1712.8472222222222,5.7
NTT,1700.0,23.5
FCC,1700.0,6.0
VLA,1695.3488372093022,4.0
DTP,1687.3157894736842,32.5
HAM,1686.6666666666667,9.6
CTB,1685.9649122807018,13.7
PGT,1680.327868852459,9.2
S72,1677.7777777777778,12.0
BHK,1671.4285714285713,4.0
VFR,1665.1951219512196,15.0
XMD,1662.7450980392157,4.0
PEC,1650.0,3.1
BIO,1647.084745762712,8.6
TJC,1644.4444444444443,8.6
KKC,1644.1860465116279,5.2
SZG,1644.0677966101696,54.9
LM8,1623.359375,9.4
PMT,1617.6470588235295,4.9
DCF,1606.0,53.0
HEJ,1591.4285714285713,4.4
HEP,1590.2439024390244,6.0
PPY,1581.8181818181818,9.3
HSP,1575.3623188405797,12.0
AMC,1574.6,2.9
SEP,1566.1016949152543,8.4
VGV,1549.5061728395062,35.8
BMF,1538.4615384615386,15.8
NUE,1538.2380952380952,6.0
EBS,1535.593220338983,10.0
DPH,1517.7777777777778,3.0
COM,1502.2727272727273,14.1
CQT,1492.857142857143,25.0
CNC,1488.0,11.4
VC6,1485.7142857142858,10.8
BHH,1483.2692307692307,6.0
LBE,1480.7692307692307,2.0
HD8,1466.0845070422536,10.0
PND,1464.2857142857142,6.7
S4A,1455.357142857143,42.2
AVC,1453.5211267605634,75.1
DAD,1453.225806451613,4.7
CHS,1450.0,28.4
PMS,1442.4242424242425,7.2
SDV,1436.6707317073171,10.0
SCC,1436.3636363636363,4.8
HPB,1426.3157894736842,3.7
VBC,1425.5813953488373,7.5
RBC,1421.7391304347825,9.9
DM7,1420.0,15.4
TDF,1417.6470588235295,30.0
LO5,1400.0,5.1
INC,1392.857142857143,2.0
LKW,1391.638888888889,2.5
CPC,1385.5072463768115,4.1
MDG,1382.5,10.3
CI5,1380.7692307692307,2.7
TA6,1375.5555555555557,3.0
VNT,1374.0740740740741,16.6
YBC,1371.6666666666667,11.8
CT6,1368.0,6.1
DCR,1355.5555555555557,6.5
C22,1354.8181818181818,3.6
ICI,1350.0,4.0
FT1,1345.0980392156862,7.1
MQN,1323.7464788732395,8.2
MAS,1320.5882352941176,4.3
MTH,1316.6666666666667,4.8
VE3,1315.3846153846155,1.3
CMM,1305.7692307692307,97.9
BVN,1295.0819672131147,5.0
CCT,1276.1904761904761,28.5
TTT,1272.3373493975903,4.6
V12,1268.6363636363637,11.6
PEN,1250.0,5.0
CLM,1242.857142857143,11.0
ICC,1240.3,3.8
VTI,1233.3333333333333,4.3
DTC,1232.5581395348838,10.0
BBH,1228.2162162162163,2.0
HEC,1225.0,6.0
DC2,1222.9166666666667,11.3
ADC,1206.25,4.0
TMC,1205.8823529411766,12.4
KST,1205.2923076923078,6.0
NDP,1205.2631578947369,11.1
S55,1202.9024390243903,10.0
HUG,1201.851851851852,19.5
SHC,1200.8392857142858,4.3
FRC,1193.103448275862,3.0
MTP,1186.9565217391305,7.5
DND,1185.1851851851852,12.8
CDH,1180.8510638297873,2.0
PDC,1177.142857142857,15.0
HAT,1174.4,3.1
PEQ,1166.6666666666667,5.0
SII,1165.625,64.5
SDU,1159.4594594594594,20.0
PNP,1157.578947368421,16.1
TOW,1156.7567567567567,8.0
SDC,1155.5555555555557,2.6
QHW,1154.6714285714286,8.0
SBM,1149.7142857142858,45.0
DAS,1146.825,4.2
DSP,1140.0,118.7
VIE,1114.2857142857142,5.1
BMG,1110.0,5.3
TMG,1090.0,18.0
DNM,1089.2857142857142,5.3
DHN,1082.2203389830509,6.3
DNE,1073.9298245614036,5.8
VDN,1070.2571428571428,3.3
SIV,1061.5094339622642,3.5
NBT,1055.7659574468084,29.4
A32,1043.3035714285713,6.8
LM7,1040.0,5.0
BSG,1031.8181818181818,60.0
VTG,1028.5714285714287,18.6
SFC,1026.0,11.3
SD7,1018.1818181818181,10.6
TIE,1012.5,9.6
SBR,1008.3333333333334,81.4
VW3,1004.4545454545455,2.0
GDW,1000.5483870967741,9.5
SCO,1000.0,4.1
TRT,1000.0,11.0
BHI,980.952380952381,100.0
HLO,975.0,10.0
UPH,969.3877551020408,13.3
BPC,967.9508196721312,3.8
BMJ,960.7843137254902,105.0
VGL,960.0,9.3
NSL,958.8235294117648,12.5
SDG,953.8461538461538,10.1
PNC,951.1038961038961,10.8
PPP,950.7042253521126,8.8
STP,947.1698113207547,8.0
BT1,936.3636363636364,5.7
PTP,930.1228070175439,6.7
SDK,926.9444444444445,3.1
DAN,913.6363636363636,20.9
DAC,900.0,1.0
TBR,892.9512195121952,8.1
LMC,880.0,1.5
HBD,877.7777777777778,1.9
STG,875.5102040816327,98.3
TR1,875.0,4.6
BAX,871.4285714285714,8.2
DTH,850.0,7.5
CFV,846.0,12.7
USC,837.2592592592592,5.5
NTH,826.6666666666666,10.8
SEB,825.1451612903226,32.0
BTT,822.2692307692307,13.5
THS,808.3333333333334,2.7
TNW,800.0,16.0
NVP,800.0,11.0
DWC,800.0,31.5
VPR,795.1052631578947,5.0
YTC,791.2121212121212,9.5
HRC,787.2340425531914,30.2
IDP,783.3333333333334,61.8
TV6,778.9473684210526,3.0
HJS,773.5487804878048,21.0
STC,769.4444444444445,5.7
PJC,759.375,7.3
PHS,753.3823529411765,200.0
CMW,753.3333333333334,15.5
SSC,750.7592592592592,13.3
CX8,748.3870967741935,2.7
BBS,747.38,6.0
PCC,736.3636363636364,11.5
MEL,733.3333333333334,15.0
CTW,719.9242424242424,28.0
VBH,710.0,2.9
AGX,709.8591549295775,10.8
DBM,708.0645161290323,1.9
HHC,704.7619047619048,16.4
THW,700.1794871794872,5.0
CH5,689.3333333333334,3.7
IHK,688.0952380952381,2.1
PTO,684.375,1.2
PTT,676.3157894736842,16.5
CCM,675.0,6.2
LMI,671.0759493670886,5.5
XLV,668.1818181818181,3.0
CAN,666.6666666666666,5.0
GTD,664.516129032258,9.3
VTQ,663.6363636363636,17.1
DNT,657.1428571428571,7.3
QNU,650.0,6.8
S74,650.0,6.5
NGC,650.0,2.3
FSO,650.0,5.6
PTD,646.6666666666666,5.0
IST,646.4861111111111,15.0
SIG,640.5405405405405,10.0
TNB,638.4615384615385,29.4
BAL,627.0,2.0
UDL,623.0769230769231,6.5
LG9,622.2222222222222,5.0
NBW,618.8135593220339,10.9
SVI,602.0833333333334,12.8
TTE,600.0,28.5
CNN,594.1176470588235,8.8
MED,588.0,12.4
LQN,583.3333333333334,1.9
ATS,578.125,3.5
NNT,576.6666666666666,9.5
GTS,567.6470588235294,28.5
CMN,565.875,4.8
TPS,560.0,5.0
MGG,559.5443037974684,9.0
HDW,554.3230769230769,31.9
PHN,551.8518518518518,7.3
DNC,549.6625,10.0
PLE,547.6190476190476,1.2
L35,540.9090909090909,3.3
VDG,540.4255319148937,5.8
PWS,538.7906976744187,38.4
CPA,530.4347826086956,23.6
PSC,528.125,7.2
TBD,525.0,32.4
CMF,521.2121212121212,8.1
DNH,520.0,422.4
BBM,518.5185185185185,2.0
TRS,509.94029850746267,7.5
DKW,500.0,4.4
BTW,493.7659574468085,9.4
LAW,490.0,12.2
CCP,486.6666666666667,2.4
VTS,485.7142857142857,2.0
HPI,483.3333333333333,60.0
GMA,480.0,20.0
KIP,478.66153846153844,9.8
HMG,478.57142857142856,9.0
TBX,477.77777777777777,1.5
CLW,470.45454545454544,13.0
HEV,466.6666666666667,1.0
HMD,464.675,7.0
VQC,461.53846153846155,3.6
VMT,457.14285714285717,6.1
WCS,454.7042253521127,3.0
BWA,450.0,2.7
SPC,443.75,10.5
VHH,442.85714285714283,7.5
FRM,436.0,11.7
DOC,427.95348837209303,10.0
NHC,425.9259259259259,3.0
DKG,424.13793103448273,14.4
DAE,418.1818181818182,1.9
HAF,412.8205128205128,14.5
XDH,410.0,27.0
GVT,406.5652173913044,11.6
PMJ,406.25,1.8
ACS,405.0,5.4
BTV,400.0,25.0
QNT,394.11764705882354,3.2
HAS,387.5,7.8
SPB,383.3333333333333,13.3
PNG,380.0,9.0
KMT,376.5263157894737,9.8
CTT,366.6666666666667,4.7
PAI,357.14285714285717,4.2
PIA,351.85,3.9
TW3,345.9868421052632,1.7
SGH,345.54545454545456,12.4
DLT,333.3333333333333,2.5
VTX,328.57142857142856,21.0
ARM,328.57142857142856,3.1
VHF,325.609756097561,21.5
TVH,325.0,4.0
QST,324.24242424242425,3.2
MTV,322.7741935483871,5.4
FHS,321.80392156862746,12.8
TTD,311.6774193548387,15.6
MIE,300.0,142.0
BDW,297.7457627118644,12.4
BMD,296.6666666666667,2.8
SDN,296.3,3.0
VLW,295.59016393442624,28.9
KHW,292.0,28.6
QNW,280.0,20.0
KTC,277.77777777777777,36.5
HPH,276.9230769230769,8.4
CYC,275.0,9.0
SQC,275.0,107.3
TTS,271.42857142857144,50.8
DP2,266.6666666666667,20.0
TGP,266.58024691358025,13.1
HOT,264.70588235294116,8.0
PPE,264.2857142857143,2.0
NAU,257.14285714285717,3.7
NJC,248.0731707317073,5.2
APL,244.44444444444446,1.2
VXB,225.0,4.0
SFN,223.8095238095238,2.9
DVC,209.0909090909091,10.8
PMP,202.30985915492957,4.2
NAW,200.0,37.4
QHD,200.0,6.6
SKN,200.0,5.0
TSJ,196.1818181818182,74.8
SAP,180.0,1.3
THB,176.0,11.4
APT,175.0,8.8
PIS,173.78947368421052,27.5
HRB,166.66666666666666,6.3
DWS,164.08823529411765,25.9
DOP,150.0,4.7
FGL,150.0,14.7
TVA,150.0,6.3
NDW,150.0,34.2
BSD,150.0,3.0
PJS,148.73333333333332,9.0
KTL,136.53333333333333,19.2
CHC,135.2941176470588,6.7
GLW,133.33333333333334,18.0
NTF,133.33333333333334,6.0
CCV,133.33333333333334,1.8
LGC,129.35365853658536,212.1
XHC,128.61904761904762,21.1
PSN,127.41428571428571,40.0
NQN,120.40816326530613,50.8
E29,116.1829268292683,5.0
TSG,108.36111111111111,3.1
DCG,104.42592592592592,6.8
VXT,100.0,6.0
NSG,100.0,8.6
DVW,100.0,2.3
DUS,100.0,5.6
MCC,100.0,5.0
GER,100.0,2.2
EME,100.0,3.8
TAW,100.0,5.0
TCJ,100.0,10.0
GLC,100.0,10.5
NAC,100.0,2.8
TVG,100.0,2.0
NLS,100.0,5.0
PTE,100.0,12.1
BCB,100.0,5.7
IBD,100.0,9.0
HCT,100.0,2.0
MRF,100.0,6.8
HPM,100.0,3.8
VE4,100.0,1.0
ING,100.0,20.8
VCT,100.0,1.1
HFX,100.0,1.3
HGT,100.0,20.0
TNP,91.07142857142857,7.1
VDT,85.13953488372093,2.0
DSD,67.66666666666667,58.4
HTC,55.0,16.5
BEL,53.333333333333336,6.0
BMV,38.465753424657535,24.2
BLN,36.89795918367347,5.0
UPC,36.09090909090909,3.4
LDW,35.0,78.8
RAT,21.05263157894737,5.9
DNN,20.967741935483872,58.0
LNC,16.680555555555557,8.2
VMK,13.72549019607843,7.9
HC1,13.559322033898304,8.0
MQB,10.714285714285714,3.7
IN4,9.414634146341463,1.2
EMG,6.666666666666667,3.0
SNC,4.117647058823529,5.0
THU,3.389830508474576,3.3
STW,2.4390243902439024,15.9
SAL,1.7543859649122806,8.3
BED,,3.0
CJC,,8.0
DLR,,4.5
LCD,,1.5
